node_id,parent_submarket_id,node_type,name,address,latitude,longitude,source_id,field_survey_priority,notes,status
SEOUL-JONGNO-GWANGHWAMUN-JONGNO-SM01-N01,SEOUL-JONGNO-GWANGHWAMUN-JONGNO-SM01,anchor,광화문,,,,SRC-V1-FRAMEONE,S,좌표·주소 확인 필요; v1 텍스트에서 분리,text_only
SEOUL-JONGNO-GWANGHWAMUN-JONGNO-SM03-N02,SEOUL-JONGNO-GWANGHWAMUN-JONGNO-SM03,anchor,종각,,,,SRC-V1-FRAMEONE,S,좌표·주소 확인 필요; v1 텍스트에서 분리,text_only
SEOUL-JONGNO-GWANGHWAMUN-JONGNO-SM01-N03,SEOUL-JONGNO-GWANGHWAMUN-JONGNO-SM01,university,세종대로,,,,SRC-V1-FRAMEONE,S,좌표·주소 확인 필요; v1 텍스트에서 분리,text_only
SEOUL-JONGNO-GWANGHWAMUN-JONGNO-SM01-N04,SEOUL-JONGNO-GWANGHWAMUN-JONGNO-SM01,street,종로,,,,SRC-V1-FRAMEONE,S,좌표·주소 확인 필요; v1 텍스트에서 분리,text_only
SEOUL-JONGNO-GWANGHWAMUN-JONGNO-SM01-N05,SEOUL-JONGNO-GWANGHWAMUN-JONGNO-SM01,street,청계천로,,,,SRC-V1-FRAMEONE,S,좌표·주소 확인 필요; v1 텍스트에서 분리,text_only
SEOUL-JONGNO-INSADONG-IKSEON-SM01-N01,SEOUL-JONGNO-INSADONG-IKSEON-SM01,anchor,안국,,,,SRC-V1-FRAMEONE,A,좌표·주소 확인 필요; v1 텍스트에서 분리,text_only
SEOUL-JONGNO-INSADONG-IKSEON-SM01-N02,SEOUL-JONGNO-INSADONG-IKSEON-SM01,street,종로3가,,,,SRC-V1-FRAMEONE,A,좌표·주소 확인 필요; v1 텍스트에서 분리,text_only
SEOUL-JONGNO-INSADONG-IKSEON-SM01-N03,SEOUL-JONGNO-INSADONG-IKSEON-SM01,street,인사동길,,,,SRC-V1-FRAMEONE,A,좌표·주소 확인 필요; v1 텍스트에서 분리,text_only
SEOUL-JONGNO-INSADONG-IKSEON-SM01-N04,SEOUL-JONGNO-INSADONG-IKSEON-SM01,street,익선동 골목,,,,SRC-V1-FRAMEONE,A,좌표·주소 확인 필요; v1 텍스트에서 분리,text_only
SEOUL-JONGNO-SAMCHEONG-BUKCHON-SM01-N01,SEOUL-JONGNO-SAMCHEONG-BUKCHON-SM01,anchor,안국,,,,SRC-V1-FRAMEONE,C,좌표·주소 확인 필요; v1 텍스트에서 분리,text_only
SEOUL-JONGNO-SAMCHEONG-BUKCHON-SM01-N02,SEOUL-JONGNO-SAMCHEONG-BUKCHON-SM01,street,삼청로,,,,SRC-V1-FRAMEONE,C,좌표·주소 확인 필요; v1 텍스트에서 분리,text_only
